111,,,DO NOT CHANGE(other than pasting in a new reference scenario.),,,,,,,,,,,,,,,,,,
BCOC-Red,,,,,,,,,,,,,,,,,,,,,
,,,This is used as the base emissions for Ref cases,,,,,,,,,,,,,,,,,,
,Fos CO2,CO2NetLandUse,CH4,N2O,SOXreg1,SOXreg2,SOXreg3,CF4,C2F6,HFC125,HFC134a,HFC143a,HFC227ea,HFC245ca,SF6,NOx,NMVOCs,CO,BC,OC,
Year,(Pg C),(Pg C),(Tg),(Tg N),(Tg S),(Tg S),(Tg S),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(Mt N),(Mt),(Mt),(Gg),(Gg),blank line
2017,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2018,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2019,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2020,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2021,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2022,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2023,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2024,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2025,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2026,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2027,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2028,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2029,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2030,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2031,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2032,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2033,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2034,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2035,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2036,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2037,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2038,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2039,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2040,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2041,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2042,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2043,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2044,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2045,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
2046,8.6074,0.9106,322.5448,7.8682,12.9138,36.4093,13.4174,10.6086,2.3096,17.127,142.7312,14.1631,6.2121,48.596,5.6554,37.7516,208.3788,1038.619,16234.4,34402.4,
