111,,,,,,,,,,,,,,,,,,,,,
4pt5Stab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
    ,CO2,CO2NetLandUse,CH4,N2O,SOXreg1,SOXreg2,SOXreg3,CF4,C2F6,HFC125,HFC134a,HFC143a,HFC227ea,HFC245ca,SF6,NOx,NMVOCs,CO,BC,OC,
Year,(Pg C),(Pg C),(Tg),(Tg N),(Tg S),(Tg S),(Tg S),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(kton),(Mt N),(Mt),(Mt),(Mt),(Mt),blank line
2019,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2020,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2021,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2022,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2023,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2024,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2025,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2026,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2027,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2028,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2029,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2030,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2031,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2032,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2033,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2034,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2035,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2036,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2037,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2038,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2039,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2040,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2041,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2042,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2043,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2044,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2045,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2046,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2047,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2048,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2049,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2050,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2051,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2052,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2053,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2054,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2055,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2056,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2057,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2058,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2059,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2060,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2061,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2062,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2063,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2064,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2065,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2066,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2067,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2068,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2069,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2070,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2071,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2072,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2073,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2074,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2075,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2076,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2077,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2078,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2079,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2080,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2081,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2082,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2083,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2084,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2085,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2086,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2087,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2088,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2089,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2090,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2091,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2092,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2093,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2094,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2095,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2096,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2097,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2098,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2099,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
2100,8.8065,0.6191,346.9108,9.4786,16.5992,30.2993,11.9195,17.8121,2.4667,8.6294,257.3204,0,0,28.3371,7.0004,39.6195,223.6559,1159.0307,9548.1584,37782.4118,
