# Output from hector version 1.1
run_name,Year,Ca,Ftot
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1814,284.574,-0.701174
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1815,284.573,-2.17489
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1816,284.546,-2.6866
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1817,284.364,-1.52119
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1818,284.066,-0.392982
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1819,283.829,0.0582739
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1820,283.743,0.188629
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1821,283.775,0.198706
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1822,283.867,0.201199
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1823,283.982,0.204132
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1824,284.103,0.207186
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1825,284.223,0.210241
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1826,284.34,0.213267
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1827,284.455,0.216262
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1828,284.569,0.214859
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1829,284.68,0.182819
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1830,284.79,-0.0286129
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1831,284.896,-0.401962
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1832,284.981,-0.486946
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1833,285.019,-0.183412
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1834,285.028,-0.344163
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1835,285.054,-0.98581
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1836,285.078,-0.944977
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1837,285.041,-0.345243
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1838,284.979,0.0484026
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1839,284.966,0.184862
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1840,285.017,0.186952
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1841,285.112,0.185508
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1842,285.225,0.201914
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1843,285.341,0.183435
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1844,285.459,0.173763
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1845,285.575,0.207826
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1846,285.687,0.24187
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1847,285.801,0.258463
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1848,285.917,0.266397
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1849,286.035,0.253587
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1850,286.155,0.233308
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1851,286.274,0.237917
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1852,286.386,0.25698
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1853,286.504,0.274958
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1854,286.631,0.28644
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1855,286.758,0.15897
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1856,286.883,-0.295925
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1857,286.995,-0.546926
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1858,287.057,-0.232784
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1859,287.071,0.093731
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1860,287.094,0.21678
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1861,287.16,0.206576
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1862,287.26,0.12331
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1863,287.359,0.136377
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1864,287.44,0.2198
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1865,287.521,0.267328
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1866,287.61,0.287713
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1867,287.706,0.297418
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1868,287.807,0.299147
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1869,287.909,0.290473
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1870,288.011,0.285767
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1871,288.111,0.28522
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1872,288.214,0.272535
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1873,288.341,0.259634
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1874,288.486,0.269301
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1875,288.627,0.264346
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1876,288.765,0.22592
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1877,288.903,0.224608
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1878,289.036,0.25991
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1879,289.166,0.285204
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1880,289.299,0.302985
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1881,289.442,0.313187
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1882,289.598,0.204948
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1883,289.75,-0.705056
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1884,289.885,-1.43628
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1885,289.93,-0.840968
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1886,289.861,-0.345258
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1887,289.797,-0.217738
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1888,289.794,-0.105739
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1889,289.843,-0.169522
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1890,289.923,-0.220276
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1891,290.013,-0.149291
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1892,290.103,0.0256479
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1893,290.201,0.174089
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1894,290.315,0.284257
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1895,290.454,0.277843
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1896,290.621,0.13403
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1897,290.799,0.0543858
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1898,290.969,0.158162
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1899,291.131,0.271976
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1900,291.304,0.324574
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1901,291.501,0.313304
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1902,291.724,-0.135904
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1903,291.961,-0.530444
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1904,292.168,-0.236742
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1905,292.331,0.119857
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1906,292.506,0.2162
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1907,292.741,0.191608
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1908,293.031,0.203635
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1909,293.331,0.270339
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1910,293.628,0.305776
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1911,293.939,0.319256
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1912,294.249,0.0828664
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1913,294.549,-0.0180418
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1914,294.831,0.200691
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1915,295.069,0.310289
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1916,295.284,0.343765
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1917,295.523,0.358138
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1918,295.795,0.370349
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1919,296.074,0.36964
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1920,296.316,0.291473
