# Output from hector version 1.1
run_name,Year,Ca,Ftot
rcp45_doeclim_step_conc_in2010_x4,1838,283.425,0.183178
rcp45_doeclim_step_conc_in2010_x4,1839,283.4,0.319422
rcp45_doeclim_step_conc_in2010_x4,1840,283.4,0.32054
rcp45_doeclim_step_conc_in2010_x4,1841,283.425,0.317784
rcp45_doeclim_step_conc_in2010_x4,1842,283.5,0.333502
rcp45_doeclim_step_conc_in2010_x4,1843,283.6,0.314723
rcp45_doeclim_step_conc_in2010_x4,1844,283.725,0.305197
rcp45_doeclim_step_conc_in2010_x4,1845,283.9,0.340396
rcp45_doeclim_step_conc_in2010_x4,1846,284.075,0.375628
rcp45_doeclim_step_conc_in2010_x4,1847,284.225,0.392923
rcp45_doeclim_step_conc_in2010_x4,1848,284.4,0.401975
rcp45_doeclim_step_conc_in2010_x4,1849,284.575,0.390238
rcp45_doeclim_step_conc_in2010_x4,1850,284.725,0.370543
rcp45_doeclim_step_conc_in2010_x4,1851,284.875,0.375752
rcp45_doeclim_step_conc_in2010_x4,1852,285,0.395064
rcp45_doeclim_step_conc_in2010_x4,1853,285.125,0.413178
rcp45_doeclim_step_conc_in2010_x4,1854,285.275,0.425099
rcp45_doeclim_step_conc_in2010_x4,1855,285.425,0.298084
rcp45_doeclim_step_conc_in2010_x4,1856,285.575,-0.156336
rcp45_doeclim_step_conc_in2010_x4,1857,285.725,-0.406609
rcp45_doeclim_step_conc_in2010_x4,1858,285.9,-0.0903575
rcp45_doeclim_step_conc_in2010_x4,1859,286.075,0.239173
rcp45_doeclim_step_conc_in2010_x4,1860,286.225,0.364588
rcp45_doeclim_step_conc_in2010_x4,1861,286.375,0.355967
rcp45_doeclim_step_conc_in2010_x4,1862,286.5,0.273179
rcp45_doeclim_step_conc_in2010_x4,1863,286.625,0.286737
rcp45_doeclim_step_conc_in2010_x4,1864,286.775,0.371436
rcp45_doeclim_step_conc_in2010_x4,1865,286.9,0.419789
rcp45_doeclim_step_conc_in2010_x4,1866,287,0.440387
rcp45_doeclim_step_conc_in2010_x4,1867,287.1,0.450168
rcp45_doeclim_step_conc_in2010_x4,1868,287.225,0.45236
rcp45_doeclim_step_conc_in2010_x4,1869,287.375,0.44458
rcp45_doeclim_step_conc_in2010_x4,1870,287.525,0.440771
rcp45_doeclim_step_conc_in2010_x4,1871,287.7,0.44162
rcp45_doeclim_step_conc_in2010_x4,1872,287.9,0.430743
rcp45_doeclim_step_conc_in2010_x4,1873,288.125,0.419669
rcp45_doeclim_step_conc_in2010_x4,1874,288.4,0.431736
rcp45_doeclim_step_conc_in2010_x4,1875,288.7,0.429739
rcp45_doeclim_step_conc_in2010_x4,1876,289.025,0.394774
rcp45_doeclim_step_conc_in2010_x4,1877,289.4,0.397836
rcp45_doeclim_step_conc_in2010_x4,1878,289.8,0.438064
rcp45_doeclim_step_conc_in2010_x4,1879,290.225,0.468804
rcp45_doeclim_step_conc_in2010_x4,1880,290.7,0.492873
rcp45_doeclim_step_conc_in2010_x4,1881,291.2,0.509618
rcp45_doeclim_step_conc_in2010_x4,1882,291.675,0.407219
rcp45_doeclim_step_conc_in2010_x4,1883,292.125,-0.497349
rcp45_doeclim_step_conc_in2010_x4,1884,292.575,-1.22282
rcp45_doeclim_step_conc_in2010_x4,1885,292.975,-0.62104
rcp45_doeclim_step_conc_in2010_x4,1886,293.3,-0.11813
rcp45_doeclim_step_conc_in2010_x4,1887,293.575,0.0155962
rcp45_doeclim_step_conc_in2010_x4,1888,293.8,0.131742
rcp45_doeclim_step_conc_in2010_x4,1889,294,0.0707052
